"","country.x","country_code","iso","designation","Country","country_emissions","global_emissions","emissions_share","readiness_2021","vulnerability_2021","gdp_reformed","gdp_2021","country.y","renewable_share_2020","env_exposure_2022","emissions_share_scaled","readiness_2021_scaled","vulnerability_2021_scaled","gdp_reformed_scaled","renewable_share_2020_scaled","env_exposure_2022_scaled"
"54","Bolivia","218","BOL","emerging_mkt","Bolivia",577.56075,1693867.357528,0.000340971651312109,0.285575320993661,0.445929303490493,23310877782.1718,40408208524,"Bolivia",0.356985017747058,4.5,0.0013684351905521,0.221646910498488,0.464882185060052,0.000677013219191457,0.643014982252942,0.54320987654321
"55","Bosnia and Herzegovina","963","BIH","emerging_mkt","Bosnia and Herzegovina",964.361835,1693867.357528,0.000569325473281079,0.365011698800217,0.347880334479121,20479211224.8851,23649566069,"Bosnia and Herzegovina",0.290387578523172,3.9,0.00228522824973168,0.340598955646466,0.23894578052233,0.000594667364599585,0.709612421476828,0.469135802469136
"56","Botswana","616","BWA","emerging_mkt","Botswana",156.47072,1693867.357528,9.23748363793671e-05,0.435281034527861,0.418515120979994,15784704406.0418,18737066307,"Botswana",0.00262471797332992,3.8,0.000370370728572307,0.445823808878676,0.401711078905487,0.000458149463192637,0.99737528202667,0.45679012345679
"57","Brazil","223","BRA","emerging_mkt","Brazil",16672.43786,1693867.357528,0.00984282375234591,0.352189900720644,0.374190966705121,1377594727569.05,1649622972159,"Brazil",0.841727481578211,5.1,0.0395163933918492,0.321398947461882,0.299573951386292,0.0400600615811879,0.158272518421789,0.617283950617284
"58","Brunei Darussalam","516","BRN","emerging_mkt","Brunei Darussalam",371.266423,1693867.357528,0.000219182701260516,0.53483389164747,0.391196945251866,20309996193.3193,14006497000,"Brunei Darussalam",0.000237728328412815,1.9,0.000879477908693065,0.594899286407872,0.338761203299686,0.000589746532255036,0.999762271671587,0.222222222222222
"59","Bulgaria","918","BGR","emerging_mkt","Bulgaria",3873.285019,1693867.357528,0.00228665190446352,0.465516582817461,0.342423941289867,88964522904.2941,84061395658,"Bulgaria",0.183427860524076,2.8,0.00917993637801364,0.491100046347318,0.226372493201164,0.00258624419864439,0.816572139475924,0.333333333333333
"60","Cabo Verde","624","CPV","emerging_mkt","Cape Verde",15.299405,1693867.357528,9.03223321000039e-06,0.451801829242007,0.427422860963889,1045870887,2091741774,"Cabo Verde",0.168188213970571,1.6,3.57675261349226e-05,0.470562881492274,0.422237380862673,2.95390257491243e-05,0.831811786029429,0.185185185185185
"61","Chile","228","CHL","emerging_mkt","Chile",2996.751975,1693867.357528,0.00176917747525013,0.534454195081214,0.329532980890703,340987877368.879,316713577509,"Chile",0.481563624055702,2.4,0.00710238426649163,0.594330709587794,0.196667568478422,0.00991517155666707,0.518436375944298,0.283950617283951
"62","Colombia","233","COL","emerging_mkt","Colombia",3503.543594,1693867.357528,0.002068369508645,0.370442347549278,0.413790190276268,266520261504.178,318511813577,"Colombia",0.650081129524879,4.6,0.0083035779982765,0.348731083432482,0.390823316742828,0.00774962722305958,0.349918870475121,0.555555555555556
"63","Costa Rica","238","CRI","emerging_mkt","Costa Rica",261.265704,1693867.357528,0.000154242126952187,0.452252376111086,0.372054555996519,64441534402.8953,64616482168,"Costa Rica",0.997981122203742,2.1,0.00061875502141377,0.471237553135063,0.294650973011462,0.00187310710978133,0.00201887779625765,0.246913580246914
"64","Croatia","960","HRV","emerging_mkt","Croatia",1118.098639,1693867.357528,0.000660086301345185,0.487970102751274,0.380411506707054,80626306750.1026,68843674641,"Croatia, Rep. of",0.638805256512742,3.7,0.00264961408088221,0.524723081418254,0.313908079082799,0.00234376595443807,0.361194743487258,0.444444444444444
"65","Dominica","321","DMA","emerging_mkt","Dominica",4.98136,1693867.357528,2.94082058896849e-06,0.520670384116794,0.450276304629934,392863338.791364,555266666.7,"Dominica",0.203818737270876,3.6,1.13117725004605e-05,0.573690134709824,0.474899075781797,1.05493376893453e-05,0.796181262729124,0.432098765432099
"66","Dominican Republic","243","DOM","emerging_mkt","Dominican Republic",776.145148,1693867.357528,0.000458208929141118,0.363155330917451,0.419902060969506,88691810756.9873,94243426487,"Dominican Rep.",0.145541622434202,5.1,0.0018391184559513,0.337819136597569,0.404907035351532,0.00257831363394927,0.854458377565797,0.617283950617284
